Question,Answer,Mode
What facilities exist during placement season?,"Support infrastructure: Dedicated placement blocks: AC rooms for interviews, Waiting areas with refreshments, WiFi connectivity. Dress code: Formal wear mandatory, In-house laundry: Express service during placements. Transport: Special buses during drives, Early morning/late night as needed. Food: Extended cafeteria timings, Special meals during interviews. Support staff: Coordinators for each company, Student volunteers for guidance. Technology: Online tests in computer labs, Video interview rooms. Medical: First aid always available. Stress management: Counselors available, Peer motivation groups. Backup: If multiple offers same day, priority management, Missed due to exam: Rescheduled. Updates: SMS/Email/WhatsApp for every step. Care: Every student treated as priority.",Placements and Career
Can I do higher studies and placements both?,"Yes, parallel allowed: No restriction: Sit for placements, Prepare for GATE/GRE/CAT simultaneously. Company joining: Deferred joining possible (discuss with HR), Some take gap year for MS, Join after completing degree. Strategy: Accept placement as backup, Attempt higher studies entrance, Choose based on results. Statistics: 30% place holders go for higher studies, Companies: Usually accept deferrals, Gap on joining: Acceptable with valid reason. Recommendation: Don't skip placements entirely, Financial security important, Can do MS after 2-3 years work ex (better ROI). LPU support: GATE coaching center, GRE preparation classes, University recommendations for MS. Decision: Personal based on career goals.",Placements and Career
What is lateral hiring support?,"Lateral/exp hire help: For students with experience: Part-time work during studies, Previous work experience, Gap year work. Advantage: Experience counts positively, Higher package potential, Senior roles possible. Process: Different from campus placements, Resume based selection, Direct interviews. Support: Separate registration, Different companies approach, Work-ex verification. Reality: 5-10% students have prior experience, Treated equally in opportunities, Experience valued in negotiations. Lateral entry students: Can sit for regular placements too, Age not a barrier, Maturity advantage in interviews. Opportunities: Startups prefer experienced candidates, Higher responsibilities, Better growth trajectory.",Placements and Career
What pre-placement offers (PPO) process exists?,"PPO system: From internships: Performance based, Offered during/after internship, Usually 10-20% interns get PPO. Advantages: Placement secured early, No placement stress, Can skip that company interview. Process: Internship performance review, HR interview, Offer rollout, Acceptance deadline. Package: Same as campus placement, Sometimes negotiable. Timing: Usually after internship completion, Join after degree. Decision: Can reject PPO and sit for placements, No penalty for rejection, Strategic planning needed. Statistics: 200-300 students get PPO annually, Success rate: High if dedicated internship work. Strategy: Treat internship seriously, Build good relationships, Deliver quality work, PPO conversion high probability.",Placements and Career
What skill development programs are offered?,"Industry skill training: Technical: Full-stack development, Cloud computing (AWS/Azure), AI/ML courses, Cybersecurity, Data Science with Python. Certifications: Google, Microsoft, Oracle certifications, Industry recognized courses. Soft skills: Leadership training, Communication workshops, Personality development, Interview etiquette. Industry collaborations: IBM training programs, Cisco networking academy, SAP modules, Google cloud training. Cost: Most FREE for students, Some advanced: Nominal charges. Duration: Weekend batches, Semester programs, Summer intensive courses. Placement value: Certified students preferred, Higher package potential, More interview calls. Requirements: Minimum attendance, Assignment completion, Certification exam clearing. Career boost: Enhances resume significantly, Practical industry skills, Competitive advantage in placements.",Placements and Career
What is the dress code policy?,"Formal dress mandatory Mon-Fri: Boys: Full pants + formal shirt + shoes (NO jeans/t-shirts). Girls: Formal suit/kurti + formal pants (NO leggings/shorts). Saturday: Smart casuals. ID card mandatory. Violations: Attendance marked absent, fine Rs.500. Hostel: No dress code inside.",Rules Safety and Grievance
What is LPU anti-ragging policy?,"ZERO tolerance. Punishment: Immediate suspension, police complaint, expulsion. 24/7 helpline: 1800-180-5522. Email: antiragging@lpu.co.in. Anti-ragging squad regular checks. Affidavit from students and parents mandatory. Complainant identity protected.",Rules Safety and Grievance
How to file a grievance?,"Online: UMS → Grievance portal. Offline: Written complaint, Drop box. Categories: Academic, Administrative, Harassment. Timeline: Acknowledgment 24hrs, Resolution 7 days. Escalation: HOD → Dean → Proctor → VC. Anonymous option available.",Rules Safety and Grievance
What happens with prohibited items?,"Alcohol/Drugs: Immediate expulsion + police case. Smoking: Fine Rs.5000. Detection: Random hostel checks, CCTV, security scanning. Room search without consent if suspicious. Strict disciplinary action.",Rules Safety and Grievance
What is mobile phone policy?,Allowed with restrictions. Not in classrooms during lectures. Banned in exam halls (UFM case if found). Hostels: Free usage. Library: Silent mode. Photography needs permission. Cyberbullying serious offence.,Rules Safety and Grievance
What safety measures exist?,"24/7 security guards. Biometric entry/exit. 2000+ CCTV cameras. Emergency helpline: 181. Campus police station. 24/7 hospital. Women safety: Separate security, panic buttons, self-defense training. Fire safety: Detectors, drills, trained staff.",Rules Safety and Grievance
What is sexual harassment policy?,"ICC (Internal Complaints Committee) active. Email: icc@lpu.co.in. Confidential proceedings. Inquiry within 90 days. Punishment: Suspension, expulsion, police case. POSH training for all. Well-lit campus, CCTV monitoring.",Rules Safety and Grievance
Can I leave campus anytime?,"Day scholars: Free with ID card. Hostellers: Outpass from warden. Same day till 8PM boys, 7PM girls. Overnight needs parent permission. Biometric tracking. Late entry needs explanation. Local guardian required for hostellers.",Rules Safety and Grievance
Mess food complaint procedure?,Daily feedback forms. Online: UMS → Mess Complaint. Mess committee meetings. Same day acknowledgment. Quality checks. FSSAI inspections. Can subscribe/unsubscribe mess. Multiple cafeterias alternative.,Rules Safety and Grievance
Policy on strikes and protests?,Peaceful dissent allowed with permission. Designated areas. No disruption of academics. No violence/property damage. Unauthorized protest: Disciplinary action. Student council for representation. Dialogue encouraged before protest.,Rules Safety and Grievance
Political activities policy?,"Student elections allowed annually. External party politics banned. Academic discussions permitted. No disruption, division, unauthorized rallies. Violations: Immediate action. Focus on education maintained.",Rules Safety and Grievance
What if theft in hostel?,Report to warden immediately. Register with security. FIR if valuable. CCTV checked. Use lockers for valuables. University not liable. Personal insurance recommended. Keep valuables minimal.,Rules Safety and Grievance
Examination malpractice policy?,"Copying, mobile, chits, talking: Paper cancelled, one-year ban. Repeat: Possible expulsion. Evidence collected, disciplinary hearing. CCTV in halls. Not worth risking career. Extra time for disabled students.",Rules Safety and Grievance
Substance abuse policy?,"Absolute ban on alcohol, drugs, smoking, tobacco. Random checks. Drugs: FIR + expulsion. Alcohol: Suspension. De-addiction support available. Counseling services. Parents notified. Criminal case for drugs.",Rules Safety and Grievance
Cyber safety policy?,"Prohibited: Cyberbullying, obscene content, fake profiles, morphed images. Report: cyber@lpu.co.in. Action: Warning to expulsion. Victim support provided. Cyber safety workshops. Think before posting online.",Rules Safety and Grievance
Accommodation change policy?,"Allowed first 2 weeks only. Genuine reasons: Medical, compatibility issues. Written application to warden. Availability checked. Mid-semester changes not allowed. Emergency immediate shift possible.",Rules Safety and Grievance
Damage to property policy?,"**Property Damage Rules:** 🏚️

*   **Accidental:** Report to warden immediately. You pay *only* repair cost.
*   **Intentional:** You pay **Repair Cost + Fine + Disciplinary Action**.
*   **Group Liability:** If culprit not found, fine divided among all room/floor mates.
*   **Lost Keys/ID:** Report immediately (Fine: ₹500 + Replacement cost).

*Always report damages during room takeover to avoid later fines!*",Rules Safety and Grievance
Discipline and conduct policy?,"Expected: Respect, punctuality, honesty. Prohibited: Violence, harassment, ragging. Minor violations: Warning. Serious: Suspension, expulsion. Parents informed. Record maintained. Impacts character certificate.",Rules Safety and Grievance
Disability support services?,"Equal opportunity cell. Ground floor hostel. Wheelchair accessibility. Scribes, extra time in exams. Assistive technology. Ramps, lifts throughout. Special transport. Scholarship available. Inclusive culture, anti-discrimination strict.",Rules Safety and Grievance
Who is the legendary coder of LPU?,The legendary coder of LPU is Aman Chopra.,General
How to apply for DL?,"**Duty Leave (DL) Application Process:** 📝

1. **Login:** Go to UMS (ums.lpu.in) using your credentials.
2. **Navigate:** Open **RMS** (Request Management System).
3. **Select:** Choose category **'General'** -> **'Duty Leave'**.
4. **Details:** Fill in the event date, type, and description.
5. **Proof:** You **MUST** upload supporting documents (Event Pass, Faculty Email, Selection Letter).
6. **Submit:** Click submit. Track status in 'My Requests'.

*Note: Apply 3 days prior to the event for guaranteed processing.*",Admissions and Administration
What is ML?,"ML stands for Medical Leave. If you are sick, you can apply for ML on UMS. You must submit a medical certificate from a doctor and get it verified by the university hospital within 3 days.",Rules Safety and Grievance
How to reset UMS password?,Go to ums.lpu.in and click on 'Forgot Password'. You can reset it using your registered mobile number or email ID.,Admissions and Administration
What is RMS?,"RMS stands for Request Management System. It is used to raise requests for various services like hostel complaints, leave applications, document requests, etc.",Rules Safety and Grievance
When are the MTEs?,Mid Term Exams (MTE) usually happen after 6-7 weeks of the semester start. Check the Exam Date Sheet on UMS for exact dates.,Academic
When are the ETEs?,End Term Exams (ETE) occur at the end of the semester. Dates are announced on UMS.,Academic
What is CA?,"CA stands for Continuous Assessment. It includes attendance, assignments, quizzes, and class participation marks.",Academic
How to check marks?,Login to UMS -> Academic -> View Marks / Result.,Academic
Contact for RMS issues?,"For RMS technical issues, email to rms.support@lpu.co.in or visit the IT block.",Rules Safety and Grievance
What is the dress code?,LPU has a decent dress code. Students should wear formal or semi-formal attire. Shorts and sleeveless clothes are generally not allowed in academic blocks.,Rules Safety and Grievance
What is UMC?,"**UMC (Unfair Means Case) Guide:** ⚠️

**Definition:** UMC is registered if a student is caught cheating/misbehaving during exams.

**Consequences:**
*   Cancellation of that specific paper.
*   Cancellation of all papers in that semester.
*   Suspension for 1 year (in severe cases).
*   Scholarship termination.

**Procedure if UMC registered:**
1. You will receive a show-cause notice on UMS.
2. You must appear before the **UMC Committee** at the specified time.
3. Admit mistake honestly if guilty; arguing worsens the penalty.",Academic
How to clear UMC?,"**Resolving a UMC Case:** ⚖️

1. **Wait for Summon:** Check UMS messages daily after exams.
2. **Hearing:** Attend the UMC Committee hearing in person.
3. **Statement:** Submit a written apology/explanation.
4. **Verdict:** Decision is updated on UMS within 2-3 weeks.
5. **Mercy Petition:** If punishment is severe, you can file a mercy petition to the **Chief Warden/Dean** within 7 days.

*Tip: Honesty is the best policy during hearings.*",Academic
What are the bus routes?,"LPU has a huge fleet of buses covering Jalandhar, Phagwara, Ludhiana, and Hoshiarpur. Routes and timings are available on UMS under 'Transport' section.",Campus Life
What is the bus fee?,"Bus fees depend on the route and distance (e.g., Jalandhar vs Ludhiana). It applies per academic year. Check UMS for exact rates.",Campus Life
Is parking available?,"Yes, huge parking spaces are available for students and faculty at designated gates.",Campus Life
What is in the mess menu?,"The mess menu changes weekly. It includes North Indian, South Indian, and Continental options. You can view the daily menu on the LPU Touch app.",Campus Life
Can I change my mess?,"Yes, you can change your mess choice (e.g., North to South Indian) at the start of the month via UMS.",Campus Life
What are the food court options?,"LPU has Domino's, Subway, Pizza Hut, and 50+ other food kiosks in the Uni-Mall and across campus.",Campus Life
Who are the top recruiters?,"**Top Recruiters at LPU:** 💼

**🌟 Super Dream (₹15 LPA+):**
*   Microsoft, Google, Amazon
*   Palo Alto, Nutanix, Atlassian

**🚀 Dream (₹7-15 LPA):**
*   Oracle, Cisco, Optum
*   Deloitte, EY, PwC
*   Honda, Daikin, Infineon

**🏭 Mass Recruiters:**
*   Cognizant (hires 700+), Wipro
*   Capgemini, DXC Technology
*   Infosys, TCS

*Over 1000+ companies visit campus annually!*",Placements and Career
How to register for placement?,"**Placement Registration Guide:** 🎯

**Eligibility:**
*   Valid **PEP** (Professional Enhancement Program) registration.
*   No active backlogs.
*   CGPA > 6.5 (Standard) or > 7.5 (Premium).

**Steps:**
1.  **UMS:** Go to **Placement** tab.
2.  **Profile:** Complete 'Placement Profile' (Verify 10th/12th/Degree marks).
3.  **Resume:** Upload verified resume in PDF format.
4.  **Registration:** Click on 'Drive Registration' for upcoming companies.
5.  **Hall Ticket:** Download ticket before the drive test.",Placements and Career
What is PEP?,"**PEP (Professional Enhancement Program):** 🚀

**What is it?**
Essential training curriculum integrated into your timetable to make you job-ready.

**Modules:**
1.  **Aptitude:** Quantitative, Logical, Verbal ability.
2.  **Soft Skills:** Group Discussions (GD), Personal Interviews (PI), Resume writing.
3.  **Technical:** Coding (C++/Java/Python), Data Structures (DSA).

*Note: PEP grade is included in your CGPA and is mandatory for placement eligibility.*",Placements and Career
What is the passing criteria?,"Generally, you need 40% aggregate marks (Internal + External) and 30% marks strictly in the End Term Exam to pass a course.",Academic
How to apply for Re-appear?,"If you fail a course, apply for Re-appear exam on UMS under Examination tab. A fee per subject applies.",Academic
What is Backlog?,Backlog means a failed course that you need to clear in future semesters.,Academic
How do I get my degree?,Degree is awarded during Convocation upon successful completion of all credits with no pending backlogs.,Academic
What are hostel timings?,Hostel gates usually close by 7:30 PM (Winter) or 8:00 PM (Summer). Late entry requires warden permission.,Campus Life
Is AC hostel available?,"Yes, LPU offers AC and Non-AC rooms with 1, 2, 3, or 4 seater options. Attached washrooms are also available in apartments.",Campus Life
Can I change my room?,Room change requests can be made via RMS (Request Management System) subject to availability.,Campus Life
What is One India?,"One India is an annual cultural fest where students represent different states and countries, showcasing unity in diversity.",Campus Life
What is Youth Vibe?,"Youth Vibe is LPU's global open fest with technical, cultural, and sports competitions involving students from other universities too.",Campus Life
How to join clubs?,"Visit the Division of Student Welfare (DSW) in Block 13. You can join Music, Dance, Coding, Literary, and 50+ other student organizations.",Campus Life
Is there a hospital?,"Yes, Uni-Hospital is operational 24/7 inside the campus with resident doctors and ambulances.",Rules Safety and Grievance
How to get Wi-Fi password?,Your UMS ID is the username and default password is available on UMS. You can reset it via 'Internet Access' section.,Rules Safety and Grievance
Where is the library?,The Central Library is a 9-storey building located prominently near the entrance. It's automated and world-class.,Campus Life
Can parents visit?,"Yes, parents can visit. They can stay at the Uni-Hotel on campus by booking in advance.",Admissions and Administration
Meaning of TG?,TG stands for Teacher Guardian. Every student is assigned a faculty mentor for guidance.,Rules Safety and Grievance
Who is HOD?,HOD (Head of Department) leads your specific department. Contact them for academic escalations.,Academic
What is the grading system?,"LPU follows a 10-point CGPA system. Grades: A+ (90-100%, 10 points), A (80-89%, 9 points), B+ (70-79%, 8 points), B (60-69%, 7 points), C+ (50-59%, 6 points), C (40-49%, 5 points), F (<40%, 0 points). CGPA formula: Sum of (Grade Points × Credits) / Total Credits. Minimum 5.0 CGPA required for degree. Internationally recognized system helps in global admissions.",Academic
When are semester exams?,"Odd Semester End-Terms: November-December, Mid-Terms: September. Even Semester End-Terms: April-May, Mid-Terms: February-March. Dates announced 30 days advance on UMS. Date sheet uploaded 15 days before exams. Supplementary exams in June-July. Check academic calendar on website regularly.",Academic
What is passing criteria?,"Requirements: 40% minimum in BOTH theory and practical separately + 50% overall aggregate + 75% attendance mandatory + Grade C (5 points) minimum. Internal assessment 20% of total. Failed = backlog, max 3 attempts. Overall 5.0 CGPA needed for degree.",Academic
Library timings?,"Mon-Fri: 8AM-10PM. Sat-Sun: 9AM-6PM. Exam periods: 7AM-11PM. 24/7 reading rooms during exams. Digital library 24/7 online. Reference: 8AM-8PM. Circulation: 9AM-7PM. Discussion rooms: 9AM-8PM bookable. Collection: 1.5L books, 50K e-books, 15K journals. Free WiFi, printing, scanning available.",Academic
How many departments?,"50+ departments across faculties: Engineering (16 depts - CSE, ECE, Mech, Civil, Elect, Aerospace, etc.), Management (4 depts - MBA, Int'l Business), Computer App (3 depts - MCA, IT, Data Science), Pharma (5 depts), Hotel Mgmt (3 depts), Design (4 depts), Architecture, Arts (10+ depts), Sciences (11 depts), Agriculture (6 depts), Law, Education, Physiotherapy, Commerce, Economics. Each with dedicated labs, faculty, research facilities.",Academic
Can I change course?,"Possible in first semester with conditions: 70%+ in 12th, meet new course eligibility, seats available, no discipline issues. Apply via Academic Counselor with form, documents, fee (Rs.5K same school, Rs.10K different school). Processing 2-4 weeks. Fee difference adjustment. Some credits may transfer. Entrance test for some switches. Contact Student Welfare: 01824-404404.",Academic
What is CGPA?,"CGPA = Cumulative Grade Point Average. LPU uses 10-point scale. O=Outstanding (10), A+=Excellent (9), A=Very Good (8), B+=Good (7), B=Above Average (6), C=Average (5), D=Pass (4), F=Fail (0).",Academic
How to calculate CGPA?,"CGPA = Sum of (Grade Points × Credits) / Total Credits. Example: If you have 3 subjects (3 credits each): A+(9), A(8), B+(7) = (9×3 + 8×3 + 7×3) / 9 = 8.0 CGPA.",Academic
What is minimum passing CGPA?,"Minimum 5.0 CGPA required overall. Individual subject minimum: Grade D (4.0). Below this = fail, need to reappear.",Academic
How to improve CGPA?,"Attend classes (75%+), complete assignments on time, study regularly, use library resources, attend doubt sessions, participate in class, take mock tests.",Academic
Can I see my grade card online?,Yes! Login to UMS → Examinations → Grade Card → Select semester → Download PDF. Available 30 days after exam results.,Academic
What is minimum attendance required?,"75% minimum attendance mandatory for exam eligibility. Below 75% = detained, cannot appear in exams. Medical cases require certificate.",Academic
How to check attendance?,Login UMS portal (ums.lpu.in) → My Attendance → View subject-wise percentage. Updates after each class. Parents can track via ERP.,Academic
What if attendance is below 75%?,Below 75% = Detained status. Cannot sit for exams. Must repeat semester. Only exception: Medical emergency with valid doctor certificate + hospitalization proof.,Academic
Can I apply for attendance condonation?,"Yes, for medical emergencies only. Submit medical certificate + hospital documents to HOD within 7 days. Maximum 10% condonation possible (65% to 75%).",Academic
How is attendance calculated?,Attendance % = (Classes Attended / Total Classes) × 100. Calculated per subject. Theory and practicals counted separately.,Academic
What is MTE?,Mid-Term Exam. 20% weightage. Held mid-semester. 1.5 hour duration. Syllabus: First half of course. MCQ + descriptive format.,Academic
What is ETE?,End-Term Exam. 60% weightage. Comprehensive exam. 3 hour duration. Full semester syllabus. Major component of grading.,Academic
What are CA marks?,"Continuous Assessment. 20% weightage. Includes: Assignments (5%), Quizzes (5%), Class participation (5%), Project (5%). Evaluated throughout semester.",Academic
When are exam results declared?,Results typically declared within 30 days of exam completion. MTE: 2-3 weeks. ETE: 3-4 weeks. Check UMS portal regularly.,Academic
How to apply for re-evaluation?,"Apply within 10 days of result via UMS. Fee: ₹1,000/subject. Results in 30 days. Marks may increase/decrease/remain same.",Academic
What is supplementary exam?,"For failed students. Held in June-July. Fee: ₹1,500/subject. Maximum 3 attempts allowed. Same syllabus as regular exam.",Academic
Can I get my answer sheet checked?,"Yes, apply for Answer Script Viewing within 7 days via UMS. Fee: ₹500/subject. Can view in presence of controller. No photocopies allowed.",Academic
What if I miss an exam due to illness?,"Apply for Special Exam within 7 days with medical certificate. Fee: ₹2,000/subject. Valid only for hospitalization cases.",Academic
How many attempts for a subject?,"Maximum 4 attempts: 1 regular + 3 supplementary. After 4 failures, must take readmission in that semester.",Academic
What is the exam pattern?,Varies by subject. Typically: 30% MCQs + 70% descriptive. Some subjects: 100% practical. Check syllabus for specific pattern.,Academic
How to access course content?,"UMS → Course Content → Select subject → Download PPTs, notes, videos. Also available on Blackboard LMS. Faculty shares Google Drive links.",Academic
Can I change my elective?,"Yes, within first 2 weeks of semester. Apply via UMS → Course Registration → Change Elective. Subject to seat availability.",Academic
What is credit system?,Each course has credits based on contact hours. Theory: 3-4 credits. Lab: 1-2 credits. Project: 2-4 credits. Minimum 18 credits/semester.,Academic
How many subjects per semester?,"Typically 6-8 subjects. Total 20-24 credits. Includes theory, labs, projects. Some electives optional.",Academic
What is course registration?,"Done at start of each semester via UMS. Select subjects, electives. Lock courses. Changes allowed in first week only.",Academic
Can I take extra credits?,"Yes, maximum 28 credits per semester allowed. Above 24 requires HOD approval. Good for fast-track completion.",Academic
What is minor degree?,Additional specialization. 18-24 credits from different department. Mentioned on degree. Popular: CSE students take AI minor.,Academic
How to drop a course?,Apply within 2 weeks via UMS. Requires HOD approval. Will show 'W' (Withdrawn) on transcript. No refund.,Academic
What is audit course?,Non-credit course. Attend classes but not graded. Shows 'Audit' on transcript. Useful for skill development without GPA impact.,Academic
Can I repeat a course for better grade?,Yes. Old grade remains on transcript but replaced in CGPA calculation. Must pay course fee again.,Academic
How to check exam schedule?,UMS Portal → Examinations → Date Sheet. Available 15 days before exams. Download PDF. Room numbers announced day before exam.,Academic
Tell me about exam schedule,UMS Portal → Examinations → Date Sheet. Available 15 days before exams. Download PDF. Room numbers announced day before exam.,Academic
How to check backlog clearance?,"Apply for supplementary exam. Fee: ₹1,500/subject. Maximum 3 backlogs at a time. Clear before final year.",Academic
Tell me about backlog clearance,"Apply for supplementary exam. Fee: ₹1,500/subject. Maximum 3 backlogs at a time. Clear before final year.",Academic
How to check CGPA requirements?,Minimum 5.0 CGPA to pass semester. 6.0+ for placements. 7.5+ for scholarships. 8.5+ for distinction.,Academic
Tell me about CGPA requirements,Minimum 5.0 CGPA to pass semester. 6.0+ for placements. 7.5+ for scholarships. 8.5+ for distinction.,Academic
How to check semester results?,Check UMS → Results. Calculate SGPA and CGPA. Download grade card. Check for UFM or AAA marks.,Academic
Tell me about semester results,Check UMS → Results. Calculate SGPA and CGPA. Download grade card. Check for UFM or AAA marks.,Academic
How to check project submission?,Submit via UMS/Turnitin before deadline. Plagiarism check mandatory. Below 20% similarity required. Late penalty: -10% per day.,Academic
Tell me about project submission,Submit via UMS/Turnitin before deadline. Plagiarism check mandatory. Below 20% similarity required. Late penalty: -10% per day.,Academic
How to check assignment deadlines?,Check UMS → Assignments → Due Date. Usually 1-2 weeks from posting. No late submissions accepted without prior approval.,Academic
Tell me about assignment deadlines,Check UMS → Assignments → Due Date. Usually 1-2 weeks from posting. No late submissions accepted without prior approval.,Academic
How to check library access?,"24/7 during exams. Regular hours: 8 AM - 10 PM. Books: 15 days loan. Digital library: IEEE, Springer, Elsevier access.",Academic
Tell me about library access,"24/7 during exams. Regular hours: 8 AM - 10 PM. Books: 15 days loan. Digital library: IEEE, Springer, Elsevier access.",Academic
How to check lab timings?,Monday-Friday: 9 AM - 5 PM. Saturday: 9 AM - 1 PM. Sunday closed. Some labs open 24/7 with permission.,Academic
Tell me about lab timings,Monday-Friday: 9 AM - 5 PM. Saturday: 9 AM - 1 PM. Sunday closed. Some labs open 24/7 with permission.,Academic
How to check teacher consultation?,Faculty cabin hours posted on door. Can email for appointment. Teacher-Guardian meets monthly. Office hours: as per timetable.,Academic
Tell me about teacher consultation,Faculty cabin hours posted on door. Can email for appointment. Teacher-Guardian meets monthly. Office hours: as per timetable.,Academic
How to check timetable?,Download from UMS → Academic → Timetable. Check room numbers. Practical batches announced separately.,Academic
Tell me about timetable,Download from UMS → Academic → Timetable. Check room numbers. Practical batches announced separately.,Academic
How to apply for admission?,"Visit lpu.in → Apply Now → Fill form → Upload documents → Pay ₹1,000 fee → Submit. Receive application number. Track status online.",Admissions and Administration
What is eligibility for BTech?,"10+2 with Physics, Mathematics, English. Minimum 60% marks. Valid JEE Main/LPUNEST score. Age: 17-25 years.",Admissions and Administration
Is there any entrance test?,"Yes, LPUNEST (LPU National Entrance and Scholarship Test). Online/offline mode. Syllabus: 10+2 level. Can also use JEE Main/NEET scores.",Admissions and Administration
When is LPUNEST conducted?,Multiple slots from April to July. Choose your date. Results in 3 days. Valid for scholarship determination.,Admissions and Administration
Is there any scholarship?,Yes! Merit-based: 100% to 20% based on marks/rank. Sports: Up to 100% for national players. Need-based: For economically weaker sections. Apply during admission.,Admissions and Administration
What is hostel fee?,"AC: ₹1,20,000/year. Non-AC: ₹80,000/year. Includes electricity, WiFi, laundry. Refundable security: ₹10,000. Mess separate: ₹45,000/year.",Admissions and Administration
What is mess fee?,"₹45,000/year (₹3,750/month) for 3 meals daily. Vegetarian menu. Special diet on request. Paid semester-wise. Breakfast, lunch, dinner included.",Admissions and Administration
Can I pay fees in installments?,Yes! Two installments per semester. 50% at admission + 50% after 2 months. Late fee: ₹100/day after deadline. No EMI available.,Admissions and Administration
What is refund policy?,Before semester: 90% refund (10% processing). First week: 80% refund. Second week: 60% refund. After 2 weeks: No refund. Hostel/Mess: Prorated refund.,Admissions and Administration
How to pay fees online?,UMS → Fee Payment → Select semester → Choose payment method (Debit/Credit/Net Banking/UPI) → Pay → Save receipt. Generates automatic receipt.,Admissions and Administration
What documents required for admission?,"10th marksheet, 12th marksheet, Transfer Certificate, Migration Certificate, Entrance scorecard, Category certificate (if applicable), Passport size photos (6), Aadhar card, Medical fitness certificate.",Admissions and Administration
What is admission fee?,"One-time admission fee: ₹25,000 (non-refundable). Includes registration, ID card, library card, orientation. Paid at time of admission.",Admissions and Administration
Are there any hidden charges?,"No hidden charges. Transparent fee structure. Additional: Exam form (₹600), ID card duplicate (₹500), Library fine (if books overdue), Hostel damage (if any).",Admissions and Administration
What about international student fees?,"International: $5,000-8,000/year depending on program. Includes tuition. Hostel extra. Scholarships available for SAARC students.",Admissions and Administration
Tell me about document verification,Original + 2 photocopies all certificates. Done at admission counter. Aadhar mandatory. Takes 30 minutes.,Admissions and Administration
What is document verification at LPU?,Original + 2 photocopies all certificates. Done at admission counter. Aadhar mandatory. Takes 30 minutes.,Admissions and Administration
Tell me about scholarship amount,"Based on LPUNEST rank: Top 1%=100%, Top 5%=75%, Top 10%=50%, Top 20%=25%. Maintained if CGPA>7.5.",Admissions and Administration
What is scholarship amount at LPU?,"Based on LPUNEST rank: Top 1%=100%, Top 5%=75%, Top 10%=50%, Top 20%=25%. Maintained if CGPA>7.5.",Admissions and Administration
Tell me about course duration,BTech: 4 years (8 semesters). MBA: 2 years. BBA/BCA: 3 years. Hotel Management: 4 years.,Admissions and Administration
What is course duration at LPU?,BTech: 4 years (8 semesters). MBA: 2 years. BBA/BCA: 3 years. Hotel Management: 4 years.,Admissions and Administration
Tell me about seat reservation,"15% SC, 7.5% ST, 27% OBC as per government norms. PwD: 5%. Sports quota: 3%. NRI quota: 15%.",Admissions and Administration
What is seat reservation at LPU?,"15% SC, 7.5% ST, 27% OBC as per government norms. PwD: 5%. Sports quota: 3%. NRI quota: 15%.",Admissions and Administration
Tell me about hostel allocation,First-come-first-serve. Applied during admission. AC/Non-AC choice. Cannot change mid-year. Blocks assigned by year/department.,Admissions and Administration
What is hostel allocation at LPU?,First-come-first-serve. Applied during admission. AC/Non-AC choice. Cannot change mid-year. Blocks assigned by year/department.,Admissions and Administration
Tell me about lateral entry,Diploma holders direct to 2nd year. 60% in diploma mandatory. Entrance test required. Limited seats.,Admissions and Administration
What is lateral entry at LPU?,Diploma holders direct to 2nd year. 60% in diploma mandatory. Entrance test required. Limited seats.,Admissions and Administration
Tell me about migration process,"Submit TC, migration from previous university. Processing: 2-3 weeks. Required for degree. Contact Academic Affairs.",Admissions and Administration
What is migration process at LPU?,"Submit TC, migration from previous university. Processing: 2-3 weeks. Required for degree. Contact Academic Affairs.",Admissions and Administration
Tell me about course change,Allowed within first semester. Subject to availability. May need to pay difference. HOD approval required.,Admissions and Administration
What is course change at LPU?,Allowed within first semester. Subject to availability. May need to pay difference. HOD approval required.,Admissions and Administration
What are hostel facilities?,"AC/Non-AC rooms, WiFi, laundry, gym, common room, TV, indoor games, 24/7 security, CCTV, biometric entry, warden, mess, medical room. Boys: Blocks 30-41. Girls: Blocks 14-28.",Campus Life
What is hostel timing?,Entry: Anytime. Exit: 7 PM weekdays (10 PM with permission). No time limit weekends with gate pass. Sunday: Full day out allowed. Late entry needs warden approval.,Campus Life
How many students per room?,"AC: 2 students. Non-AC: 3-4 students. Rooms: Bed, study table, chair, almirah, fan, lights. Attached bathroom in all rooms.",Campus Life
Is WiFi available in hostel?,Yes! 100 Mbps speed. 24/7 available. Coverage in all blocks. Login with UMS credentials. Free for all students. Unlimited data.,Campus Life
What is hostel food menu?,"Breakfast: Parathas, bread, jam, milk, tea. Lunch: Roti, rice, dal, sabzi, salad. Dinner: Similar to lunch. Menu changes daily. Special menu on festivals.",Campus Life
Can visitors come to hostel?,"Yes, in reception area only. Parents allowed in rooms with warden permission. Timing: 9 AM - 6 PM. Guest house available for overnight stay.",Campus Life
Is laundry facility available?,"Yes, each block has laundry room. Washing machines free. Dryer available. Iron boards. List clothes. Collect next day. Commercial laundry also available.",Campus Life
Where to eat on campus?,"Multiple options: Main mess, Food courts (A block, P block), Subway, Domino's, McDonald's, Café Coffee Day, Nescafe, Local dhabas. Open till 11 PM.",Campus Life
What is mess timing?,Breakfast: 7:30-9:30 AM. Lunch: 12-2 PM. Evening snacks: 4-6 PM. Dinner: 7-9:30 PM. Sunday special breakfast till 11 AM.,Campus Life
